DivisionName,DivisionSize
Assiniboine South School Division,Medium
Beautiful Plains,Small
Border Land,Small
Brandon,Large
Charleswood-Tuxedo,Medium
Charleswood-Tuxedo-Westwood,Medium
Daniel McIntyre,Medium
Elmwood-East Kildonan,Medium
Evergreen,Small
Flin Flon,Medium
Fort Garry School Division,Medium
Fort la Bosse,Small
Fort Rouge-East Fort Garry,Small
Frontier,Small
Garden Valley,Small
Glenlawn,Medium
Hanover,Medium
Interlake,Medium
Kelsey,Small
Lakeshore,Small
Lord Selkirk,Small
Louis Riel School Division,Large
Mountain View,Small
Mynarski,Small
Mystery Lake,Small
North Kildonan,Small
Norwood School Division,Small
Old Kildonan,Small
Park West,Small
Pembina Trails School Division,Large
Pine Creek,Small
Point Douglas,Small
Portage La Prairie,Medium
Prairie Rose,Small
Prairie Spirit,Small
Queenston,Small
Red River Valley,Small
Redboine,Small
River East School Division,Medium
River East Transcona School Division,Large
River Heights,Medium
River Heights-Fort Garry,Medium
Rolling River,Small
Seine River,Small
Seven Oaks,Small
Southwest Horizon,Small
St. Boniface,Medium
St. Boniface School Division,Small
St. Charles,Small
St. James,Small
St. James - Assiniboia School Division,Small
St. James-Brooklands,Small
St. Norbert,Medium
St. Norbert-Seine River,Medium
St. Vital,Medium
St. Vital School Division,Medium
Sunrise,Small
Swan Valley,Small
Transcona,Large
Transcona-Springfield School Division,Small
Turtle Mountain,Small
Turtle River,Small
Waverley West,Medium
Western,Small
Whiteshell,Small
Winnipeg,Large
Winnipeg School Division,Large
Seven Oaks School Division,Large
